Hotel,Location,Star,Price Per Night,Restaurant,Free Breakfast,Pizza,Burger,Table Tennis,Horseback Riding,Bicycle Riding,Board Games,Swimming Pool,Free Cancellation,Free Wifi,Gym,Playstation,Cctv camera,Children activities,Freetaxiservice,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom,Telephone,Refrigerator,Showerchair,Amenities
Consolar Internationa Hotel,Axum,3,"$1,000.00",Restaurant,Free Breakfast,Pizza,Burger,Table Tennis,Horseback Riding,Bicycle Riding, , , ,Free Wifi, , ,Cctv camera,Children activities, , , ,Parkinglot,Television,Doublebed,Twinbed, ,Bathroom,Telephone,Refrigerator,Showerchair,"Restaurant, Free Breakfast, Pizza, Burger, Table Tennis, Horseback Riding, Bicycle Riding,  ,  ,  , Free Wifi,  ,  , Cctv camera, Children activities,  ,  ,  , Parkinglot, Television, Doublebed, Twinbed,  , Bathroom, Telephone, Refrigerator, Showerchair"
Axum Touring Hotel,Axum,3,"$1,000.00",Restaurant,Free Breakfast,Pizza,Burger,Table Tennis,Horseback Riding,Bicycle Riding,Board Games,Swimming Pool, ,Free Wifi,Gym, , ,Children activities, , ,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom, , , ,"Restaurant, Free Breakfast, Pizza, Burger, Table Tennis, Horseback Riding, Bicycle Riding, Board Games, Swimming Pool,  , Free Wifi, Gym,  ,  , Children activities,  ,  , Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom,  ,  ,  "
Armah Hotel,Axum,3,$750.00,Restaurant,Free Breakfast,Pizza,Burger, , , , ,Swimming Pool,Free Cancellation,Free Wifi,Gym,Playstation,Cctv camera,Children activities,Freetaxiservice, ,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom, , , ,"Restaurant, Free Breakfast, Pizza, Burger,  ,  ,  ,  , Swimming Pool, Free Cancellation, Free Wifi, Gym, Playstation, Cctv camera, Children activities, Freetaxiservice,  , Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom,  ,  ,  "
Brana Hotel,Axum,3,"$1,892.00",Restaurant,Free Breakfast, , , , , , , ,Free Cancellation,Free Wifi, , , , , , ,Laundryservice,Parkinglot, ,Doublebed, , ,Bathroom, ,Refrigerator, ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  ,  , Free Cancellation, Free Wifi,  ,  ,  ,  ,  ,  , Laundryservice, Parkinglot,  , Doublebed,  ,  , Bathroom,  , Refrigerator,  "
Adama Hotel,Adama,4,"$5,240.00",Restaurant, , , , , , , ,Swimming Pool, ,Free Wifi, , ,Cctv camera,Children activities, ,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom, , , ,"Restaurant,  ,  ,  ,  ,  ,  ,  , Swimming Pool,  , Free Wifi,  ,  , Cctv camera, Children activities,  , Atm onsite, Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom,  ,  ,  "
Kuriftu Resort And Spa,Adama,4,"$4,500.00",Restaurant,Free Breakfast, , , , , , ,Swimming Pool, ,Free Wifi, , , ,Children activities, ,Atm onsite, ,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom, ,Refrigerator, ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  , Swimming Pool,  , Free Wifi,  ,  ,  , Children activities,  , Atm onsite,  , Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom,  , Refrigerator,  "
Tokuma Hotel,Adama,4,"$1,884.00",Restaurant, , , , , , , ,Swimming Pool,Free Cancellation,Free Wifi,Gym, , ,Children activities, , ,Laundryservice,Parkinglot,Television,Doublebed,Twinbed, ,Bathroom, ,Refrigerator, ,"Restaurant,  ,  ,  ,  ,  ,  ,  , Swimming Pool, Free Cancellation, Free Wifi, Gym,  ,  , Children activities,  ,  , Laundryservice, Parkinglot, Television, Doublebed, Twinbed,  , Bathroom,  , Refrigerator,  "
Adama German Hotel,Adama,4,"$2,880.00",Restaurant, , , , , , , ,Swimming Pool, ,Free Wifi, , , ,Children activities,Freetaxiservice, ,Laundryservice,Parkinglot,Television, , , ,Bathroom, , , ,"Restaurant,  ,  ,  ,  ,  ,  ,  , Swimming Pool,  , Free Wifi,  ,  ,  , Children activities, Freetaxiservice,  , Laundryservice, Parkinglot, Television,  ,  ,  , Bathroom,  ,  ,  "
Executive Hotel,Adama,2,"$1,500.00",Restaurant, , , , , , , ,Swimming Pool, , ,Gym, , ,Children activities, ,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed, ,Airconditioner,Bathroom, , , ,"Restaurant,  ,  ,  ,  ,  ,  ,  , Swimming Pool,  ,  , Gym,  ,  , Children activities,  , Atm onsite, Laundryservice, Parkinglot, Television, Doublebed,  , Airconditioner, Bathroom,  ,  ,  "
Kereyu Hill Resort,Adama,4,"$2,700.00",Restaurant, , , , , , , ,Swimming Pool, ,Free Wifi, , ,Cctv camera,Children activities, , ,Laundryservice,Parkinglot,Television,Doublebed,Twinbed, ,Bathroom, , , ,"Restaurant,  ,  ,  ,  ,  ,  ,  , Swimming Pool,  , Free Wifi,  ,  , Cctv camera, Children activities,  ,  , Laundryservice, Parkinglot, Television, Doublebed, Twinbed,  , Bathroom,  ,  ,  "
Rift Valley Hotel,Adama,4,"$3,240.00",Restaurant, , , , , , , ,Swimming Pool, ,Free Wifi, , , ,Children activities, , ,Laundryservice,Parkinglot,Television,Doublebed,Twinbed, ,Bathroom, , , ,"Restaurant,  ,  ,  ,  ,  ,  ,  , Swimming Pool,  , Free Wifi,  ,  ,  , Children activities,  ,  , Laundryservice, Parkinglot, Television, Doublebed, Twinbed,  , Bathroom,  ,  ,  "
Dallol Hotel,Adama,4,"$1,984.00",Restaurant, , , , , , , , , ,Free Wifi, , , ,Children activities, , , ,Parkinglot,Television,Doublebed, , ,Bathroom, , , ,"Restaurant,  ,  ,  ,  ,  ,  ,  ,  ,  , Free Wifi,  ,  ,  , Children activities,  ,  ,  , Parkinglot, Television, Doublebed,  ,  , Bathroom,  ,  ,  "
Ayu International Hotel,Adama,3,"$1,600.00",Restaurant, , , , , , , , , ,Free Wifi, , , ,Children activities, , , ,Parkinglot,Television,Doublebed, , ,Bathroom, , , ,"Restaurant,  ,  ,  ,  ,  ,  ,  ,  ,  , Free Wifi,  ,  ,  , Children activities,  ,  ,  , Parkinglot, Television, Doublebed,  ,  , Bathroom,  ,  ,  "
Sumeya Hotel,Harar,5,"$1,130.00",Restaurant,Free Breakfast, , , , , , , ,Free Cancellation,Free Wifi, , , ,Children activities,Freetaxiservice,Atm onsite,Laundryservice,Parkinglot,Television, , ,Airconditioner,Bathroom, , , ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  ,  , Free Cancellation, Free Wifi,  ,  ,  , Children activities, Freetaxiservice, Atm onsite, Laundryservice, Parkinglot, Television,  ,  , Airconditioner, Bathroom,  ,  ,  "
Winta Hotel,Harar,4,"$1,265.00",Restaurant,Free Breakfast, , , , , , , ,Free Cancellation,Free Wifi, , , , , , , ,Parkinglot,Television,Doublebed, , ,Bathroom, , , ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  ,  , Free Cancellation, Free Wifi,  ,  ,  ,  ,  ,  ,  , Parkinglot, Television, Doublebed,  ,  , Bathroom,  ,  ,  "
Wonderland Hotel,Harar,3,"$1,300.00",Restaurant, , , , , , , , , ,Free Wifi, , , ,Children activities, , , ,Parkinglot,Television,Doublebed,Twinbed, ,Bathroom,Telephone, , ,"Restaurant,  ,  ,  ,  ,  ,  ,  ,  ,  , Free Wifi,  ,  ,  , Children activities,  ,  ,  , Parkinglot, Television, Doublebed, Twinbed,  , Bathroom, Telephone,  ,  "
Harar Ras Hotel,Harar,3,"$1,190.00",Restaurant,Free Breakfast, , , , , , , , ,Free Wifi, , , ,Children activities, , , ,Parkinglot,Television,Doublebed, , ,Bathroom, , , ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  ,  ,  , Free Wifi,  ,  ,  , Children activities,  ,  ,  , Parkinglot, Television, Doublebed,  ,  , Bathroom,  ,  ,  "
Heritage Plaza  Hotel,Harar,2,"$1,100.00",Restaurant,Free Breakfast, , , , , , , , ,Free Wifi, , , , , , ,Laundryservice,Parkinglot,Television,Doublebed, , ,Bathroom, , , ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  ,  ,  , Free Wifi,  ,  ,  ,  ,  ,  , Laundryservice, Parkinglot, Television, Doublebed,  ,  , Bathroom,  ,  ,  "
